deviceId,deviceType,os,lastUsed,ipAddresses
e4f6db52-d2ed-421d-94a1-abfa51c051fe,Tablet,iOS,2025-02-08,['94.93.212.140']
56a1a5ee-5cc5-48b6-946f-10c662a4c7fc,Tablet,iOS,2025-01-09,"['54.231.129.61', '37.87.55.152']"
724c49be-bd13-4471-a71a-eb10476deb90,Mobile,Windows,2025-02-06,"['77.193.112.152', '206.173.155.121']"
0bddd336-7abf-4b60-8b45-31807524537b,Tablet,Windows,2025-02-19,"['64.57.249.192', '157.133.167.62']"
a0051d8c-7c41-484b-aee8-0792482cfbbf,Tablet,Windows,2025-02-18,"['178.8.93.72', '37.25.36.22']"
da0e0a5f-d197-4378-bc90-537345d5eca0,Mobile,Windows,2025-01-23,['159.25.31.220']
b7da4848-b787-4be9-917f-89bbe18aaa35,Tablet,Windows,2025-01-13,['188.131.123.75']
2ffd2377-41ee-4ba1-b25c-f4d3769462c4,Tablet,Android,2025-01-05,['93.134.224.44']
e8b840e4-5459-45d4-ab92-84c9f7dc90f0,Mobile,iOS,2025-01-01,"['210.83.194.200', '188.82.81.146']"
4b8bd3ac-118c-4d4d-a201-8a333f498edb,Desktop,Windows,2025-01-14,['99.32.52.203']
a0708ee8-2899-4f6e-8af8-50fb6a435211,Desktop,Windows,2025-01-23,"['190.69.153.114', '45.208.219.204']"
ecb9eb0d-b707-47d2-9fc0-e0fab265355b,Desktop,Windows,2025-01-21,['171.61.61.51']
2a2f6709-f151-49f0-a4ed-6afcf1a09a72,Desktop,Windows,2025-02-23,"['60.183.241.16', '155.56.249.216']"
106e2016-1390-4a6b-9863-434700fb2e18,Tablet,Android,2025-02-15,['63.127.219.255']
a519a6e5-7645-4fbd-b021-bd23b17406d5,Tablet,Android,2025-02-08,['21.118.95.219']
b1adf980-7db5-4cab-94b2-d4b6698586ae,Tablet,iOS,2025-01-20,['125.24.222.42']
48560e52-ceed-43ca-9458-f5f1b42a4193,Desktop,iOS,2025-02-07,['178.3.94.99']
27e15a47-62d3-4d00-8bea-dd1a4a97b1ed,Tablet,iOS,2025-02-10,"['28.105.209.112', '175.95.91.25']"
b17f864e-3270-4227-b380-4304508e2324,Desktop,Windows,2025-01-25,"['206.74.44.176', '30.242.213.117']"
45be02e8-1c98-4b62-b168-287850c085b7,Desktop,Android,2025-01-07,"['13.103.151.95', '96.29.34.204']"
5cca9adc-83e1-4bcf-bdd0-cf20374c5f00,Desktop,Android,2025-02-16,"['79.114.194.130', '135.2.24.23']"
53584dce-deca-4fbc-b802-1760125d3a72,Desktop,Windows,2025-02-01,"['193.72.246.96', '58.158.87.163']"
0aeb53a1-9ea3-4e0b-a52b-ac121d211118,Mobile,Android,2025-01-19,"['4.239.216.30', '31.61.160.74']"
5f504a91-800c-426b-b0a3-0bc5dac3df9c,Tablet,iOS,2025-01-22,"['59.138.31.187', '103.0.113.133']"
de115146-1880-4179-8dd0-ef63d8fac30d,Mobile,iOS,2025-01-15,['136.109.80.220']
9d0edb76-764f-4389-ab90-ef1240afa53a,Desktop,iOS,2025-01-04,['21.10.96.225']
a93e759c-e870-49d3-8a6b-ad5e2af862f3,Desktop,iOS,2025-01-14,['219.2.175.29']
c2b2fea4-d922-4710-a45d-6ea212e065af,Tablet,Android,2025-02-23,"['171.121.163.207', '178.1.85.36']"
0fdca68b-7ebf-476f-a539-6eb6d0bbf619,Desktop,Windows,2025-02-07,"['80.90.87.225', '159.173.55.191']"
634718fd-ddf6-4f33-b184-90535b71089f,Tablet,Android,2025-01-26,"['196.65.128.125', '133.41.84.47']"
8b60baa0-0ca6-43ef-bc09-32ab42dfd8cd,Mobile,iOS,2025-02-18,"['60.57.190.150', '196.127.215.162']"
b4d84898-7e86-434a-886a-f221641d4022,Desktop,iOS,2025-02-07,"['141.149.202.165', '56.218.33.84']"
589d849d-e2b7-48d2-9062-92e2f4e34f17,Desktop,Android,2025-01-09,['23.224.183.32']
bbc73b85-9d1b-4823-be43-acc147906080,Desktop,Android,2025-01-27,['199.250.124.197']
613c4ca1-98f0-43dc-b6c7-9e83713e355d,Mobile,Windows,2025-02-22,"['126.71.162.108', '109.103.251.148']"
4ba6f6c5-9cd1-4498-b4de-df5ad8ef3437,Tablet,Windows,2025-01-25,"['38.110.59.25', '202.169.41.179']"
441eca1b-aafe-48e7-b34b-045478d9fd7f,Tablet,Windows,2025-02-05,['194.169.147.59']
3570a1e6-6791-44bc-b5e1-45349f35f469,Desktop,Windows,2025-02-13,['100.245.44.241']
e7bf177f-d485-4eea-9c68-2523de6dbfa2,Mobile,Android,2025-01-15,['208.32.157.4']
5c616fff-8c65-4437-bf35-88fb38f3e73a,Tablet,Windows,2025-02-20,"['3.106.207.42', '131.132.252.243']"
35ff58cf-60c2-4aa0-b0b3-c43fe15d3c36,Desktop,Android,2025-02-08,"['123.54.151.193', '75.25.65.66']"
34203853-d435-484e-b345-573b9b658b4f,Tablet,iOS,2025-01-31,"['173.114.185.229', '34.163.106.189']"
fc85e61f-7437-419f-88d0-0b6d6d631ef0,Mobile,iOS,2025-02-19,['178.92.30.57']
804f283a-b321-4d67-a6ce-a391388dfb6f,Tablet,iOS,2025-02-11,['65.9.254.111']
eb3a8483-4440-4e21-8e83-7e795adc52ff,Desktop,Android,2025-01-18,"['57.118.233.154', '178.116.6.151']"
f0f6e50c-fc17-4a7a-b437-1cfe18dac75f,Mobile,Android,2025-01-09,['196.54.72.236']
8f71766a-95f4-4b99-94fa-e2ed4527b0f4,Tablet,iOS,2025-02-06,['82.110.54.141']
dbd7b8ca-f752-417f-a8cd-39805644cac1,Desktop,Android,2025-01-31,['51.236.19.55']
0ee97ccc-b9ad-498f-a0ed-73d9e7067ed1,Mobile,Android,2025-02-16,"['95.202.252.43', '210.199.137.181']"
079314df-e500-47ed-a2e6-2b70fcc5214e,Tablet,Android,2025-02-22,['66.224.154.14']
94664378-f84f-469f-b1bd-3589c79d308c,Mobile,iOS,2025-01-19,['139.237.190.166']
607aefcb-ac9e-44fa-8265-ffff41abf5f1,Mobile,Windows,2025-02-12,"['48.252.137.245', '91.179.131.105']"
ea8c913d-6120-44c9-b10b-2f82f3d8d660,Desktop,iOS,2025-02-11,['21.172.154.193']
f0e125df-9851-4428-a87a-500fab4cdbbc,Desktop,Android,2025-01-10,"['122.234.141.194', '14.43.187.70']"
dd68c45a-bd8d-4b47-93ea-c6723887c7f5,Tablet,Windows,2025-02-06,"['182.114.3.114', '187.229.122.116']"
f38d6da5-d7e1-48fe-a33a-df5f88d8a5b9,Tablet,iOS,2025-01-02,"['139.5.36.242', '21.119.213.28']"
9caa6c98-9bc5-4aca-93d9-a3639e7bc6b2,Desktop,iOS,2025-01-26,"['106.47.156.164', '14.54.56.35']"
72e2d9e6-fedf-4422-bb18-9dc99e1b4e80,Desktop,Android,2025-01-24,"['6.253.181.93', '58.159.130.221']"
29e858b4-35f7-48f7-8dc9-a7d783306215,Tablet,iOS,2025-02-21,['174.50.74.160']
14abdd1e-bb30-4e37-84ea-07a22497bd5f,Tablet,Android,2025-01-24,"['36.209.94.37', '91.121.195.18']"
f4f41f8b-f2ba-43e7-bd23-3a20ff98698e,Tablet,Android,2025-01-31,['132.0.120.61']
